Folder,File,Accuracy,Precision,Recall,F1
BitFit_Base,BitFit_Base/gcvit_base_gcvit_base_bitfit_experiment_base_0.1_preTrue_bs32_lr0.01_wd0_ls0.0_sz224_augstronger_schedCosineLRScheduler.pt,74.83%,69.21%,68.81%,66.04%
BitFit_Tiny,BitFit_Tiny/gcvit_tiny_gcvit_tiny_bitfit_experiment_smaller_warmup_steplr_0.1_preTrue_bs32_lr0.01_wd0_ls0.0_sz224_augstronger_schedStepLRScheduler.pt,74.13%,72.38%,67.86%,66.36%
BitFit_Tiny,BitFit_Tiny/gcvit_tiny_gcvit_tiny_bitfit_experiment_smaller_warmup_0.1_preTrue_bs32_lr0.01_wd0_ls0.0_sz224_augstronger_schedCosineLRScheduler.pt,72.03%,70.26%,64.92%,63.96%
BitFit_Tiny,BitFit_Tiny/gcvit_tiny_gcvit_tiny_bitfit_experiment_smaller_warmup_steplr_1e-05_preTrue_bs32_lr1.0000000000000002e-06_wd0_ls0.0_sz224_augstronger_schedStepLRScheduler.pt,70.63%,59.82%,63.81%,59.96%
Pretrained_False,Pretrained_False/convnextv2_tiny_cosinelr_with_warmup_optimized_weight_decay_preFalse_bs32_lr1e-05_wd0.0005_ls0.2_sz224_augstronger_schedCosineLRScheduler.pt,55.94%,45.69%,44.76%,41.01%
Pretrained_False,Pretrained_False/convnextv2_tiny_cosinelr_with_warmup_preFalse_bs32_lr1e-05_wd0.0005_ls0.2_sz224_augstronger_schedCosineLRScheduler.pt,55.94%,41.68%,45.56%,40.67%
Pretrained_False,Pretrained_False/convnextv2_tiny_cosinelr_with_warmup_preFalse_bs32_lr1e-05_wd0.0005_ls0.2_sz224_augvetted_schedCosineLRScheduler.pt,51.05%,41.38%,38.89%,38.67%
Pretrained_False,Pretrained_False/convnextv2_base_cosinelr_with_warmup_optimized_weight_decay_base_scratch_preFalse_bs16_lr7.5e-06_wd0.0005_ls0.2_sz224_augvetted_schedCosineLRScheduler.pt,51.05%,42.01%,38.02%,37.02%
Pretrained_False,Pretrained_False/convnextv2_tiny_cosinelr_with_warmup_optimized_weight_decay_preFalse_bs32_lr1e-05_wd0.0005_ls0.2_sz224_augvetted_schedCosineLRScheduler.pt,50.35%,40.41%,37.86%,35.69%
Pretrained_False,Pretrained_False/convnextv2_base_cosinelr_with_warmup_optimized_weight_decay_base_scratch_preFalse_bs32_lr5.55e-06_wd0.0005_ls0.2_sz224_augstronger_schedCosineLRScheduler.pt,48.95%,33.89%,35.00%,33.60%
